id,title,description,availability,condition,price,sale_price,image_link,link,brand,product_type,custom_label_0,custom_label_1,custom_label_2,messenger_link
100016,Apribuste tagliacarte Q-Connect acciaio antiruggine 19 cm KF03983,"Apri-busta con impugnatura ergonomica in plastica con gommatura morbida, ideale per una presa salda e confortevole. La lama in acciaio antiruggine assicura un taglio preciso e duraturo, perfetto per un utilizzo prolungato. Design compatto e resistente, ideale per casa e ufficio. Colore: nero.",in stock,new,3.53 EUR,2.64 EUR,https://asset.pbs-holding.com/asset/XL/105/1421105.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Apribuste%20tagliacarte%20Q-Connect%20acciaio%20antiruggine%2019%20cm%20KF03983%20%28SKU%20100016%29%20%E2%80%93%20Prezzo%202.64%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Spedizione > Materiale per postalizzazione > Apribuste,Spedizione,Materiale per postalizzazione,Apribuste,https://m.me/paperprintsnc
100017,"Apribuste tagliacarte Q-Connect acciaio inossidabile 24,5 cm E-29693 IA","Elegante e resistente, questo apri-busta è dotato di impugnatura ergonomica e lama in acciaio antiruggine, garantendo precisione e durata nel tempo. La superficie liscia e lucida aggiunge un tocco di raffinatezza, rendendolo ideale per l?uso quotidiano in ufficio o a casa. Perfetto per chi cerca un accessorio pratico ed esteticamente curato. Colore: argento.",in stock,new,5.23 EUR,3.96 EUR,https://asset.pbs-holding.com/asset/XL/772/2184772.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Apribuste%20tagliacarte%20Q-Connect%20acciaio%20inossidabile%2024%2C5%20cm%20E-29693%20IA%20%28SKU%20100017%29%20%E2%80%93%20Prezzo%203.96%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Spedizione > Materiale per postalizzazione > Apribuste,Spedizione,Materiale per postalizzazione,Apribuste,https://m.me/paperprintsnc
100018,"Apribuste tagliacarte in blister Q-Connect acciaio/legno 21,5 cm KF03985",Questo apri-busta conquista con la sua impugnatura in legno marrone. Inoltre dispone di una lama in acciaio antiruggine. Prodotto blisterato.,in stock,new,3.16 EUR,2.44 EUR,https://asset.pbs-holding.com/asset/XL/109/1421109.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Apribuste%20tagliacarte%20in%20blister%20Q-Connect%20acciaio/legno%2021%2C5%20cm%20KF03985%20%28SKU%20100018%29%20%E2%80%93%20Prezzo%202.44%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Spedizione > Materiale per postalizzazione > Apribuste,Spedizione,Materiale per postalizzazione,Apribuste,https://m.me/paperprintsnc
100025,Forbici universali in blister Q-Connect Elite Softgrip grigio/verde 18 cm KF03986,"Le forbici universali Q-Connect conquistano con le loro impugnature in plastica colorata. Le lame simmetriche in acciaio inox garantiscono tagli precisi. Un?ulteriore comodità è offerta dalle impugnature Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Realizzate in materiale plastico in parte riciclato. Prodotto blisterato.",in stock,new,7.31 EUR,5.48 EUR,https://asset.pbs-holding.com/asset/XL/10/1421010.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Forbici%20universali%20in%20blister%20Q-Connect%20Elite%20Softgrip%20grigio/verde%2018%20cm%20KF03986%20%28SKU%20100025%29%20%E2%80%93%20Prezzo%205.48%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Cancelleria > Forbici > Forbici,Cancelleria,Forbici,Forbici,https://m.me/paperprintsnc
100026,Forbici universali in blister Q-Connect Elite Softgrip lame 21 cm asimmetriche grigio/verde - KF03987,"Le forbici universali Q-Connect conquistano con le loro impugnature in plastica colorata. Le lame asimmetriche in acciaio inox garantiscono tagli precisi. Un?ulteriore comodità è offerta dalle impugnature Softgrip ergonomiche con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Realizzate in materiale plastico in parte riciclato. Prodotto blisterato.",in stock,new,8.65 EUR,6.49 EUR,https://asset.pbs-holding.com/asset/XL/593/1993593.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Forbici%20universali%20in%20blister%20Q-Connect%20Elite%20Softgrip%20lame%2021%20cm%20asimmetriche%20grigio/verde%20-%20KF03987%20%28SKU%20100026%29%20%E2%80%93%20Prezzo%206.49%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Cancelleria > Forbici > Forbici,Cancelleria,Forbici,Forbici,https://m.me/paperprintsnc
100032,Forbici in blister Q-Connect Softgrip lame simmetriche grigio/verde 14 cm KF00752,"Le lame in acciaio inox garantiscono tagli precisi. Un?ulteriore comodità è offerta dalle impugnature colorate Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Prodotto blisterato.",in stock,new,2.55 EUR,1.96 EUR,https://asset.pbs-holding.com/asset/XL/306/1685306.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Forbici%20in%20blister%20Q-Connect%20Softgrip%20lame%20simmetriche%20grigio/verde%2014%20cm%20KF00752%20%28SKU%20100032%29%20%E2%80%93%20Prezzo%201.96%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Cancelleria > Forbici > Forbici,Cancelleria,Forbici,Forbici,https://m.me/paperprintsnc
100033,"Forbici in blister Q-Connect Softgrip lame simmetriche grigio/verde 17,5 cm KF00753","Le lame simmetriche in acciaio inox garantiscono tagli precisi. Un?ulteriore comodità è offerta dalle impugnature colorate Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Prodotto blisterato.",in stock,new,3.53 EUR,2.64 EUR,https://asset.pbs-holding.com/asset/XL/307/1685307.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Forbici%20in%20blister%20Q-Connect%20Softgrip%20lame%20simmetriche%20grigio/verde%2017%2C5%20cm%20KF00753%20%28SKU%20100033%29%20%E2%80%93%20Prezzo%202.64%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Cancelleria > Forbici > Forbici,Cancelleria,Forbici,Forbici,https://m.me/paperprintsnc
100034,Forbici in blister Q-Connect Softgrip lame asimmetriche grigio/verde 20 cm KF00754,"Le lame asimmetriche in acciaio inox garantiscono tagli precisi. Un?ulteriore comodità è offerta dalle impugnature colorate Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Prodotto blisterato.",in stock,new,3.89 EUR,2.92 EUR,https://asset.pbs-holding.com/asset/XL/308/1685308.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Forbici%20in%20blister%20Q-Connect%20Softgrip%20lame%20asimmetriche%20grigio/verde%2020%20cm%20KF00754%20%28SKU%20100034%29%20%E2%80%93%20Prezzo%202.92%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Cancelleria > Forbici > Forbici,Cancelleria,Forbici,Forbici,https://m.me/paperprintsnc
100035,"Forbici in blister Q-Connect Softgrip lame asimmetriche grigio/verde 24,9 cm KF00755","Le lame asimmetriche in acciaio inox garantiscono tagli precisi. Un?ulteriore comodità è offerta dalle impugnature colorate Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Prodotto blisterato.",in stock,new,5.36 EUR,4.07 EUR,https://asset.pbs-holding.com/asset/XL/309/1685309.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Forbici%20in%20blister%20Q-Connect%20Softgrip%20lame%20asimmetriche%20grigio/verde%2024%2C9%20cm%20KF00755%20%28SKU%20100035%29%20%E2%80%93%20Prezzo%204.07%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Cancelleria > Forbici > Forbici,Cancelleria,Forbici,Forbici,https://m.me/paperprintsnc
100048,"Forbici universali in blister Q-Connect nero 20,5 cm - E-KF01227 IA",Forbici universali dalla forma ergonomica con impugnatura in plastica nera per un elevato comfort di taglio. Queste lame simmetriche antiruggine garantiscono tagli precisi. Realizzate in materiale plastico in parte riciclato. Prodotto blisterato.,in stock,new,3.04 EUR,2.34 EUR,https://asset.pbs-holding.com/asset/XL/946/1604946.jpg,https://wa.me/393661420573?text=Ciao%21%20Sono%20interessato%20al%20prodotto%20Forbici%20universali%20in%20blister%20Q-Connect%20nero%2020%2C5%20cm%20-%20E-KF01227%20IA%20%28SKU%20100048%29%20%E2%80%93%20Prezzo%202.34%E2%82%AC%20IVA%20compresa.%20%C3%88%20disponibile%3F,Q-Connect,Cancelleria > Forbici > Forbici,Cancelleria,Forbici,Forbici,https://m.me/paperprintsnc
